[INFO] 2025-11-24 11:41:57,155 userprofile.views:357 - User 'sunny' logged in successfully.
[DEBUG] 2025-11-24 11:42:25,833 connectwallet.views:21 - User sunny has 0 connected wallets.
[DEBUG] 2025-11-24 11:42:25,833 connectwallet.views:74 - GET request received.
[INFO] 2025-11-24 11:58:59,144 userprofile.views:357 - User 'sunny' logged in successfully.
[INFO] 2025-11-24 12:34:30,923 userprofile.views:357 - User 'sunny' logged in successfully.
[INFO] 2025-11-24 12:39:56,876 userprofile.views:357 - User 'sunny' logged in successfully.
[DEBUG] 2025-11-24 13:32:22,557 PIL.Image:388 - Importing AvifImagePlugin
[DEBUG] 2025-11-24 13:32:23,244 PIL.Image:388 - Importing BlpImagePlugin
[DEBUG] 2025-11-24 13:32:23,272 PIL.Image:388 - Importing BmpImagePlugin
[DEBUG] 2025-11-24 13:32:23,273 PIL.Image:388 - Importing BufrStubImagePlugin
[DEBUG] 2025-11-24 13:32:23,343 PIL.Image:388 - Importing CurImagePlugin
[DEBUG] 2025-11-24 13:32:23,347 PIL.Image:388 - Importing DcxImagePlugin
[DEBUG] 2025-11-24 13:32:23,378 PIL.Image:388 - Importing DdsImagePlugin
[DEBUG] 2025-11-24 13:32:23,473 PIL.Image:388 - Importing EpsImagePlugin
[DEBUG] 2025-11-24 13:32:23,502 PIL.Image:388 - Importing FitsImagePlugin
[DEBUG] 2025-11-24 13:32:23,505 PIL.Image:388 - Importing FliImagePlugin
[DEBUG] 2025-11-24 13:32:23,515 PIL.Image:388 - Importing FpxImagePlugin
[DEBUG] 2025-11-24 13:32:23,570 PIL.Image:391 - Image: failed to import FpxImagePlugin: No module named 'olefile'
[DEBUG] 2025-11-24 13:32:23,571 PIL.Image:388 - Importing FtexImagePlugin
[DEBUG] 2025-11-24 13:32:23,574 PIL.Image:388 - Importing GbrImagePlugin
[DEBUG] 2025-11-24 13:32:23,576 PIL.Image:388 - Importing GifImagePlugin
[DEBUG] 2025-11-24 13:32:23,577 PIL.Image:388 - Importing GribStubImagePlugin
[DEBUG] 2025-11-24 13:32:23,598 PIL.Image:388 - Importing Hdf5StubImagePlugin
[DEBUG] 2025-11-24 13:32:23,604 PIL.Image:388 - Importing IcnsImagePlugin
[DEBUG] 2025-11-24 13:32:23,741 PIL.Image:388 - Importing IcoImagePlugin
[DEBUG] 2025-11-24 13:32:23,763 PIL.Image:388 - Importing ImImagePlugin
[DEBUG] 2025-11-24 13:32:23,797 PIL.Image:388 - Importing ImtImagePlugin
[DEBUG] 2025-11-24 13:32:23,808 PIL.Image:388 - Importing IptcImagePlugin
[DEBUG] 2025-11-24 13:32:23,819 PIL.Image:388 - Importing JpegImagePlugin
[DEBUG] 2025-11-24 13:32:23,820 PIL.Image:388 - Importing Jpeg2KImagePlugin
[DEBUG] 2025-11-24 13:32:23,821 PIL.Image:388 - Importing McIdasImagePlugin
[DEBUG] 2025-11-24 13:32:23,824 PIL.Image:388 - Importing MicImagePlugin
[DEBUG] 2025-11-24 13:32:23,832 PIL.Image:391 - Image: failed to import MicImagePlugin: No module named 'olefile'
[DEBUG] 2025-11-24 13:32:23,855 PIL.Image:388 - Importing MpegImagePlugin
[DEBUG] 2025-11-24 13:32:23,960 PIL.Image:388 - Importing MpoImagePlugin
